id,name,type,desc
"R","R. - Name bekannt",human,""
GladII,"GladII 1.1.3",thing,""
DuP,"Diehl & Partner",firm,""
ITGuards,"ITGuards",firm,""
Archive,"The Archive AG",firm,""
EVf,"Einstweilige Verfügung",thing,""
LGK,"Landesgericht Köln",firm,""
Amanda,"Amanda's Secret",thing,""
Serrato,"Serrato Consultores",firm,""
HausnerP,"Hausner Productions",firm,""
Jutta,"Jutta Schilling",human,""
Gernot,"Gernot Paul Siegfried Schenk",human,""
Daniel,"Daniel Sebastian",human,""
UuC,"Urmann + Collegen",firm,""
Urmann,"Thomas Urmann",human,""
Xaver,"Wurstfirma Xaver Schwarz",firm,""
WgMeindl,"Wolfgang Meindl",human,""
WhMeindl,"Wolfhard Meindl",human,""
Pranger,"Verfahren bzgl. Porno-Pranger",firm,""
Mikrof,"Mikrofaktor UG",firm,""
SKB,"SKB UG",firm,""
Pavel,"Pavel Karaoglanov",human,""
Philipp,"Philipp Wiik",human,""
Peter,"Peter Matthias",human,""
Ralfi,"Ralf Reichert",human,""
Moses,"Moses Pelham",human,""
DigiP,"DigiProtect",firm,""
Django,"Nounagnon Sedjro Crespin Djengue",human,""
FDUDM2,"FDUDM2 GmbH",firm,""